,Day,chanel: (Worldwide),Unnamed: 2,refined
66,2019-02-05,39,,40.73768884177048
67,2019-02-06,43,,44.75809700503578
68,2019-02-07,42,,44.32187251523986
69,2019-02-08,42,,43.576974556056186
70,2019-02-09,48,,44.18666843360721
71,2019-02-10,53,,47.18467399946992
72,2019-02-11,42,,44.234024648820565
73,2019-02-12,41,,42.73768884177048
74,2019-02-13,43,,44.75809700503578
75,2019-02-14,45,,47.32187251523986
76,2019-02-15,43,,44.576974556056186
77,2019-02-16,49,,45.18666843360721
78,2019-02-17,51,,45.18467399946992
79,2019-02-18,44,,46.234024648820565
80,2019-02-19,100,,101.73768884177048
81,2019-02-20,81,,82.75809700503578
82,2019-02-21,57,,59.32187251523986
83,2019-02-22,53,,54.576974556056186
84,2019-02-23,58,,54.18666843360721
85,2019-02-24,58,,52.18467399946992
86,2019-02-25,46,,48.234024648820565
87,2019-02-26,43,,44.73768884177048
88,2019-02-27,42,,43.75809700503578
89,2019-02-28,43,,45.32187251523986
90,2019-03-01,44,,45.576974556056186
91,2019-03-02,51,,47.18666843360721
92,2019-03-03,83,,77.18467399946992
93,2019-03-04,48,,50.234024648820565
94,2019-03-05,53,,54.73768884177048
95,2019-03-06,48,,49.75809700503578
96,2019-03-07,47,,49.32187251523986
97,2019-03-08,51,,52.576974556056186
98,2019-03-09,52,,48.18666843360721
99,2019-03-10,55,,49.18467399946992
100,2019-03-11,41,,43.234024648820565
101,2019-03-12,41,,42.73768884177048
102,2019-03-13,41,,42.75809700503578
103,2019-03-14,43,,45.32187251523986
104,2019-03-15,44,,45.576974556056186
105,2019-03-16,53,,49.18666843360721
106,2019-03-17,51,,45.18467399946992
107,2019-03-18,43,,45.234024648820565
108,2019-03-19,42,,43.73768884177048
109,2019-03-20,43,,44.75809700503578
110,2019-03-21,43,,45.32187251523986
111,2019-03-22,43,,44.576974556056186
112,2019-03-23,51,,47.18666843360721
113,2019-03-24,51,,45.18467399946992
114,2019-03-25,41,,43.234024648820565
115,2019-03-26,41,,42.73768884177048
116,2019-03-27,40,,41.75809700503578
117,2019-03-28,42,,44.32187251523986
118,2019-03-29,42,,43.576974556056186
119,2019-03-30,51,,47.18666843360721
120,2019-03-31,51,,45.18467399946992
121,2019-04-01,39,,41.234024648820565
122,2019-04-02,43,,44.73768884177048
123,2019-04-03,41,,42.75809700503578
124,2019-04-04,41,,43.32187251523986
125,2019-04-05,42,,43.576974556056186
126,2019-04-06,46,,42.18666843360721
127,2019-04-07,51,,45.18467399946992
128,2019-04-08,40,,42.234024648820565
129,2019-04-09,40,,41.73768884177048
130,2019-04-10,40,,41.75809700503578
131,2019-04-11,39,,41.32187251523986
132,2019-04-12,39,,40.576974556056186
133,2019-04-13,46,,42.18666843360721
134,2019-04-14,48,,42.18467399946992
135,2019-04-15,40,,42.234024648820565
136,2019-04-16,41,,42.73768884177048
137,2019-04-17,42,,43.75809700503578
138,2019-04-18,39,,41.32187251523986
139,2019-04-19,43,,44.576974556056186
140,2019-04-20,47,,43.18666843360721
141,2019-04-21,46,,40.18467399946992
142,2019-04-22,40,,42.234024648820565
143,2019-04-23,41,,42.73768884177048
144,2019-04-24,44,,45.75809700503578
